title,year,numPages,DOI
How Do Infrastructure-as-Code Practitioners Update Their Dependencies? An Empirical Study on Terraform Module Updates.,2025,12,10.1109/MSR66628.2025.00100
Fine-Grained Just-In-Time Defect Prediction at the Block Level in Infrastructure-as-Code (IaC).,2024,13,10.1145/3643991.3644934
Modern code reviews in open-source projects: which problems do they fix?,2014,10,10.1145/2597073.2597082
"Oops, my tests broke the build: an explorative analysis of Travis CI with GitHub.",2017,12,10.1109/MSR.2017.62
TravisTorrent: synthesizing Travis CI and GitHub for full-stack research on continuous integration.,2017,4,10.1109/MSR.2017.24
Studying developer build issues and debugger usage via timeline analysis in visual studio IDE.,2018,4,10.1145/3196398.3196463
Hall-of-Apps: The Top Android Apps Metadata Archive.,2020,5,10.1145/3379597.3387497
Got technical debt?: surfacing elusive technical debt in issue trackers.,2016,12,10.1145/2901739.2901754
The maven dependency graph: a temporal graph-based representation of maven central.,2019,5,10.1109/MSR.2019.00060
A design structure matrix approach for measuring co-change-modularity of software products.,2018,5,10.1145/3196398.3196409
What topics do Firefox and Chrome contributors discuss?,2011,4,10.1145/1985441.1985480
Studying the impact of adopting continuous integration on the delivery time of pull requests.,2018,11,10.1145/3196398.3196421
How do Machine Learning Projects use Continuous Integration Practices? An Empirical Study on GitHub Actions.,2024,12,10.1145/3643991.3644915
How to learn enough data mining to be dangerous in 60 minutes.,2008,2,10.1145/1370750.1370769
Dependency Update Adoption Patterns in the Maven Software Ecosystem.,2025,5,10.1109/MSR66628.2025.00053
"Think locally, act globally: Improving defect and effort prediction models.",2012,10,10.1109/MSR.2012.6224300
Extracting structural information from bug reports.,2008,4,10.1145/1370750.1370757
Co-change visualization applied to PostgreSQL and ArgoUML: (MSR challenge report).,2006,2,10.1145/1137983.1138023
A data set of program invariants and error paths.,2019,5,10.1109/MSR.2019.00026
P3: A Dataset of Partial Program Patches.,2024,5,10.1145/3643991.3644889
Grouping android tag synonyms on stack overflow.,2016,11,10.1145/2901739.2901750
An Exploratory Study to Find Motives Behind Cross-platform Forks from Software Heritage Dataset.,2020,5,10.1145/3379597.3387512
Bug-fix time prediction models: can we do better?,2011,4,10.1145/1985441.1985472
Understanding Test Deletion in Java Applications.,2025,13,10.1109/MSR66628.2025.00071
Comparison of similarity metrics for refactoring detection.,2011,10,10.1145/1985441.1985452
Do LLMs Provide Links to Code Similar to What They Generate? A Study with Gemini and Bing CoPilot.,2025,13,10.1109/MSR66628.2025.00042
Improving identifier informativeness using part of speech information.,2011,4,10.1145/1985441.1985471
A dataset for evaluating identifier splitters.,2013,4,10.1109/MSR.2013.6624055
SensoDat: Simulation-based Sensor Dataset of Self-driving Cars.,2024,5,10.1145/3643991.3644891
Lessons Learned from Building and Deploying a Code Review Analytics Platform.,2015,11,10.1109/MSR.2015.25
